user_name,package_name,event,days,star_user,fork_user,contributor_user,issue_new_user,issue_closed_user,pl_new_user,pl_closed_user,passby_user,release_user,size_user,star_package,fork_package,contributor_package,issue_new_package,issue_closed_package,pl_new_package,pl_closed_package,passby_package,release_package,size_package,total_change,perfective_change,corrective_change,features_change,nonfunctional_change,unknown_change,possible_vuln,cve
freqtrade/freqtrade,aio-libs/aiohttp,True,6,1116,249,137,146,161,166,171,98,3,90,423,88,260,76,156,308,382,208,5,179,8,0,2,6,0,0,0,0
source-foundry/fdiff,aio-libs/aiohttp,True,1,1,0,3,0,0,22,21,0,3,33,423,88,260,76,156,308,382,208,5,179,8,0,2,6,0,0,0,0
pypa/bandersnatch,aio-libs/aiohttp,True,1,16,9,17,12,10,78,78,8,0,58,423,88,260,76,156,308,382,208,5,179,8,0,2,6,0,0,0,0
pypa/bandersnatch,aio-libs/aiohttp,True,2,16,9,17,12,10,78,78,8,0,58,423,88,260,76,156,308,382,208,5,179,35,2,8,24,1,0,2,0
source-foundry/fdiff,aio-libs/aiohttp,True,1,1,0,3,0,0,22,21,0,3,33,423,88,260,76,156,308,382,208,5,179,35,2,8,24,1,0,2,0
freqtrade/freqtrade,aio-libs/aiohttp,True,5,1116,249,137,146,161,166,171,98,3,90,423,88,260,76,156,308,382,208,5,179,35,2,8,24,1,0,2,0
ipinfo/python,aio-libs/aiohttp,True,28,30,4,11,6,8,2,2,10,2,27,423,88,260,76,156,308,382,208,5,179,35,2,8,24,1,0,2,0
cocrawler/cocrawler,aio-libs/aiohttp,True,51,1,5,1,0,0,2,2,1,0,24,423,88,260,76,156,308,382,208,5,179,35,2,8,24,1,0,2,0
GNS3/gns3-server,aio-libs/aiohttp,True,133,26,17,47,28,26,6,5,34,3,148,423,88,260,76,156,308,382,208,5,179,35,2,8,24,1,0,2,0
pschmitt/python-liveboxplaytv,aio-libs/aiohttp,True,19,0,0,1,0,0,7,7,0,0,55,423,88,260,76,156,308,382,208,5,179,35,2,8,24,1,0,2,0
source-foundry/fdiff,aio-libs/aiohttp,True,3,1,0,2,0,0,9,9,0,1,34,431,73,115,46,29,145,130,84,1,182,10,0,2,7,0,1,2,0
pypa/bandersnatch,aio-libs/aiohttp,True,0,19,8,16,9,12,65,68,9,0,58,431,73,115,46,29,145,130,84,1,182,10,0,2,7,0,1,2,0
freqtrade/freqtrade,aio-libs/aiohttp,True,0,2886,536,286,310,315,191,190,251,3,90,431,73,115,46,29,145,130,84,1,182,10,0,2,7,0,1,2,0
pschmitt/python-liveboxplaytv,aio-libs/aiohttp,True,0,0,0,1,0,0,6,6,0,0,55,431,73,115,46,29,145,130,84,1,182,10,0,2,7,0,1,2,0
ipinfo/python,aio-libs/aiohttp,True,542,28,4,6,5,4,2,2,5,0,27,431,73,115,46,29,145,130,84,1,182,10,0,2,7,0,1,2,0
home-assistant/appdaemon.git,aio-libs/aiohttp,True,0,0,0,0,0,0,0,0,0,2,25,431,73,115,46,29,145,130,84,1,182,10,0,2,7,0,1,2,0
cocrawler/cocrawler,aio-libs/aiohttp,True,1,38,1,3,1,1,4,3,2,1,24,431,73,115,46,29,145,130,84,1,182,10,0,2,7,0,1,2,0
meltygroup/kisee,aio-libs/aiohttp,True,5,0,0,2,0,2,4,4,1,2,35,431,73,115,46,29,145,130,84,1,182,10,0,2,7,0,1,2,0
attzonko/mmpy_bot,aio-libs/aiohttp,True,9,23,10,30,16,29,28,27,22,6,11,431,73,115,46,29,145,130,84,1,182,10,0,2,7,0,1,2,0
hh-h/aiohttp-swagger3,aio-libs/aiohttp,True,2,3,1,5,1,0,2,2,5,1,29,312,63,125,42,61,268,285,91,2,199,348,18,88,239,1,2,7,1
Rapptz/discord.py,aio-libs/aiohttp,True,130,423,473,0,0,0,0,0,0,0,10,312,63,125,42,61,268,285,91,2,199,348,18,88,239,1,2,7,1
MrDandycorn/vk-botting,aio-libs/aiohttp,False,426,0,0,0,0,0,0,0,0,0,5,312,63,125,42,61,268,285,91,2,199,348,18,88,239,1,2,7,1
billy-yoyo/RainbowSixSiege-Python-API,aio-libs/aiohttp,False,426,3,0,0,0,0,0,0,0,0,4,312,63,125,42,61,268,285,91,2,199,348,18,88,239,1,2,7,1
EvieePy/Wavelink,aio-libs/aiohttp,True,82,0,0,0,0,0,0,0,0,0,42,312,63,125,42,61,268,285,91,2,199,348,18,88,239,1,2,7,1
ckw017/showdown.py,aio-libs/aiohttp,False,426,1,0,0,0,0,0,0,0,0,8,312,63,125,42,61,268,285,91,2,199,348,18,88,239,1,2,7,1
colibris-framework/colibris,aio-libs/aiohttp,False,426,1,0,0,0,0,0,0,0,0,4,312,63,125,42,61,268,285,91,2,199,348,18,88,239,1,2,7,1
Detrous/darksky,aio-libs/aiohttp,False,426,0,0,0,0,0,0,0,0,0,25,312,63,125,42,61,268,285,91,2,199,348,18,88,239,1,2,7,1
stitchstreams/target-stitch,aio-libs/aiohttp,False,426,0,0,0,0,0,0,0,0,1,44,312,63,125,42,61,268,285,91,2,199,348,18,88,239,1,2,7,1
BigchainDB/bigchaindb,aio-libs/aiohttp,False,426,0,0,0,0,0,0,0,0,0,145,312,63,125,42,61,268,285,91,2,199,348,18,88,239,1,2,7,1
mgejke/asyncsector,aio-libs/aiohttp,False,426,0,1,0,0,0,0,0,0,0,3,312,63,125,42,61,268,285,91,2,199,348,18,88,239,1,2,7,1
codex-team/deployserver,aio-libs/aiohttp,False,426,2,0,0,0,0,0,0,0,0,6,312,63,125,42,61,268,285,91,2,199,348,18,88,239,1,2,7,1
AnderssonPeter/pytrafikverket,aio-libs/aiohttp,False,426,0,0,0,0,0,0,0,0,0,14,312,63,125,42,61,268,285,91,2,199,348,18,88,239,1,2,7,1
loudml/loudml-python,aio-libs/aiohttp,True,237,0,0,0,0,0,0,0,0,0,24,312,63,125,42,61,268,285,91,2,199,348,18,88,239,1,2,7,1
samuelcolvin/aiohttp-tools,aio-libs/aiohttp,False,426,0,0,0,0,0,0,0,0,0,13,312,63,125,42,61,268,285,91,2,199,348,18,88,239,1,2,7,1
bzdvdn/aio_bitrix,aio-libs/aiohttp,False,426,0,0,0,0,0,0,0,0,0,2,312,63,125,42,61,268,285,91,2,199,348,18,88,239,1,2,7,1
nacharya/edgex_access,aio-libs/aiohttp,False,426,0,0,1,0,0,1,1,1,0,17,312,63,125,42,61,268,285,91,2,199,348,18,88,239,1,2,7,1
quarkslab/irmacl-async,aio-libs/aiohttp,False,426,3,1,0,0,0,0,0,0,0,20,312,63,125,42,61,268,285,91,2,199,348,18,88,239,1,2,7,1
ichega/redforester,aio-libs/aiohttp,False,426,0,0,0,0,0,0,0,0,0,7,312,63,125,42,61,268,285,91,2,199,348,18,88,239,1,2,7,1
nardew/bitpanda-aio,aio-libs/aiohttp,False,426,0,0,0,0,0,0,0,0,0,12,312,63,125,42,61,268,285,91,2,199,348,18,88,239,1,2,7,1
Pangeamt/pangeamt_toolkit,aio-libs/aiohttp,False,426,0,0,0,0,0,0,0,0,0,4,312,63,125,42,61,268,285,91,2,199,348,18,88,239,1,2,7,1
DPInvaders/pyacryl2,aio-libs/aiohttp,False,426,0,0,0,0,0,0,0,0,0,6,312,63,125,42,61,268,285,91,2,199,348,18,88,239,1,2,7,1
jeffguorg/wx2pdf,aio-libs/aiohttp,False,426,0,0,0,0,0,0,0,0,0,14,312,63,125,42,61,268,285,91,2,199,348,18,88,239,1,2,7,1
maxzheng/1bead.org,aio-libs/aiohttp,False,426,0,0,0,0,0,0,0,0,0,6,312,63,125,42,61,268,285,91,2,199,348,18,88,239,1,2,7,1
synesthesiam/rhasspy-client,aio-libs/aiohttp,False,426,0,0,0,0,0,0,0,0,0,5,312,63,125,42,61,268,285,91,2,199,348,18,88,239,1,2,7,1
bb4L/rpi-radio-alarm-pip,aio-libs/aiohttp,False,426,0,0,0,0,0,0,0,0,0,12,312,63,125,42,61,268,285,91,2,199,348,18,88,239,1,2,7,1
yiffscraper/yiffscraper,aio-libs/aiohttp,False,426,0,0,0,0,0,0,0,0,0,4,312,63,125,42,61,268,285,91,2,199,348,18,88,239,1,2,7,1
vyahello/async-weather-api,aio-libs/aiohttp,False,426,0,0,0,0,0,0,0,0,0,53,312,63,125,42,61,268,285,91,2,199,348,18,88,239,1,2,7,1
antechrestos/cf-python-client,aio-libs/aiohttp,True,44,0,0,0,0,0,0,0,0,1,27,312,63,125,42,61,268,285,91,2,199,348,18,88,239,1,2,7,1
MahjongRepository/mahjong_soul_api,aio-libs/aiohttp,False,426,5,0,2,1,1,0,0,1,2,8,312,63,125,42,61,268,285,91,2,199,348,18,88,239,1,2,7,1
home-assistant/appdaemon.git,aio-libs/aiohttp,True,21,0,0,0,0,0,0,0,0,0,25,312,63,125,42,61,268,285,91,2,199,348,18,88,239,1,2,7,1
pschmitt/python-liveboxplaytv,aio-libs/aiohttp,False,426,0,0,1,0,0,3,3,0,0,73,312,63,125,42,61,268,285,91,2,199,348,18,88,239,1,2,7,1
freqtrade/freqtrade,aio-libs/aiohttp,True,22,2713,552,258,223,234,151,156,210,3,76,312,63,125,42,61,268,285,91,2,199,348,18,88,239,1,2,7,1
pypa/bandersnatch,aio-libs/aiohttp,True,3,13,3,11,7,6,18,21,4,2,59,312,63,125,42,61,268,285,91,2,199,348,18,88,239,1,2,7,1
cocrawler/cocrawler,aio-libs/aiohttp,True,15,2,0,0,0,0,0,0,0,0,23,312,63,125,42,61,268,285,91,2,199,348,18,88,239,1,2,7,1
scrapd/scrapd,aio-libs/aiohttp,True,27,0,0,0,0,0,0,0,0,0,47,312,63,125,42,61,268,285,91,2,199,348,18,88,239,1,2,7,1
source-foundry/fdiff,aio-libs/aiohttp,False,426,0,0,2,0,0,27,23,0,1,35,312,63,125,42,61,268,285,91,2,199,348,18,88,239,1,2,7,1
xcodinas/apex-legends,aio-libs/aiohttp,True,330,2,0,0,0,0,0,0,0,0,4,312,63,125,42,61,268,285,91,2,199,348,18,88,239,1,2,7,1
meltygroup/kisee,aio-libs/aiohttp,False,426,1,0,0,0,0,0,0,0,0,40,312,63,125,42,61,268,285,91,2,199,348,18,88,239,1,2,7,1
thomasgermain/pymultiMATIC,aio-libs/aiohttp,True,118,3,1,3,0,0,3,2,1,4,8,312,63,125,42,61,268,285,91,2,199,348,18,88,239,1,2,7,1
GNS3/gns3-server,aio-libs/aiohttp,True,77,23,6,27,20,20,4,5,21,3,152,312,63,125,42,61,268,285,91,2,199,348,18,88,239,1,2,7,1
beda-software/fhir-py,aio-libs/aiohttp,False,426,6,3,4,1,3,2,3,3,1,25,312,63,125,42,61,268,285,91,2,199,348,18,88,239,1,2,7,1
tago-io/tago-sdk-python,aio-libs/aiohttp,False,426,0,0,1,1,0,0,0,1,2,31,312,63,125,42,61,268,285,91,2,199,348,18,88,239,1,2,7,1
andrewsayre/pysmartthings,aio-libs/aiohttp,True,11,7,3,16,2,6,5,10,14,1,24,312,63,125,42,61,268,285,91,2,199,348,18,88,239,1,2,7,1
pypa/bandersnatch,aio-libs/aiohttp,True,31,13,3,11,7,6,18,21,4,2,59,312,63,125,42,61,268,285,91,2,199,55,3,11,39,1,1,0,0
andrewsayre/pysmartthings,aio-libs/aiohttp,False,412,7,3,16,2,6,5,10,14,1,24,312,63,125,42,61,268,285,91,2,199,55,3,11,39,1,1,0,0
cocrawler/cocrawler,aio-libs/aiohttp,True,34,2,0,0,0,0,0,0,0,0,23,312,63,125,42,61,268,285,91,2,199,55,3,11,39,1,1,0,0
scrapd/scrapd,aio-libs/aiohttp,False,412,0,0,0,0,0,0,0,0,0,47,312,63,125,42,61,268,285,91,2,199,55,3,11,39,1,1,0,0
home-assistant/appdaemon.git,aio-libs/aiohttp,True,38,0,0,0,0,0,0,0,0,0,26,358,64,127,33,28,138,145,106,2,202,138,10,32,96,0,0,1,0
