user_name,package_name,event,days,star_user,fork_user,contributor_user,issue_new_user,pl_new_user,release_user,release_package,cve,is_web,has_cve,star_user_log10,fork_user_log10,contributor_user_log10,issue_new_user_log10,pl_new_user_log10,release_user_log10,release_package_log10
gaapi4py/gaapi4py,aaa_numpy/numpy,0,192,1,1,1,0,1,0,3,0,0,0,0.301029996,0.301029996,0.301029996,0,0.301029996,0,0.602059991
genialis/resolwe,django/django,0,361,1,0,6,0,17,3,3,3,1,1,0.301029996,0,0.84509804,0,1.255272505,0.602059991,0.602059991
glogiotatidis/neres,psf/requests,1,0,0,0,2,0,8,0,2,0,1,0,0,0,0.477121255,0,0.954242509,0,0.477121255
gmagno/nb-py,aaa_numpy/numpy,0,192,1,0,1,0,1,0,3,0,0,0,0.301029996,0,0.301029996,0,0.301029996,0,0.602059991
gmagno/rtrace,aaa_numpy/numpy,0,192,0,0,1,0,1,0,3,0,0,0,0,0,0.301029996,0,0.301029996,0,0.602059991
gostevehoward/confseq,matplotlib/matplotlib,0,505,1,0,2,1,4,0,1,0,0,0,0.301029996,0,0.477121255,0.301029996,0.698970004,0,0.301029996
gostevehoward/confseq,scipy/scipy,0,330,6,0,1,0,4,2,1,0,0,0,0.84509804,0,0.301029996,0,0.698970004,0.477121255,0.301029996
gostevehoward/confseq,scipy/scipy,0,517,1,0,2,1,4,0,1,0,0,0,0.301029996,0,0.477121255,0.301029996,0.698970004,0,0.301029996
guyskk/curequests,pallets/flask,0,1002,2,1,3,0,0,0,1,0,1,0,0.477121255,0.301029996,0.602059991,0,0,0,0.301029996
h1-the-swan/jargon_distance,aaa_numpy/numpy,0,192,0,0,1,0,3,0,3,0,0,0,0,0,0.301029996,0,0.602059991,0,0.602059991
h1-the-swan/jargon_distance,aaa_numpy/numpy,0,351,0,0,1,0,1,0,3,1,0,1,0,0,0.301029996,0,0.301029996,0,0.602059991
h1-the-swan/jargon_distance,aaa_numpy/numpy,1,903,0,0,1,0,3,0,3,0,0,0,0,0,0.301029996,0,0.602059991,0,0.602059991
h1-the-swan/jargon_distance,matplotlib/matplotlib,0,1033,0,0,1,0,3,0,3,0,0,0,0,0,0.301029996,0,0.602059991,0,0.602059991
h1-the-swan/jargon_distance,matplotlib/matplotlib,0,1064,0,0,1,0,3,0,3,0,0,0,0,0,0.301029996,0,0.602059991,0,0.602059991
